DATE,AWAY,HOME
1/22/2025,WPG,COL
1/22/2025,FLA,LAK
1/23/2025,OTT,BOS
1/23/2025,MTL,DET
1/23/2025,PHI,NYR
1/23/2025,CBJ,CAR
1/23/2025,VGK,STL
1/23/2025,UTH,MIN
1/23/2025,BUF,CGY
1/23/2025,VAN,EDM
1/23/2025,PIT,ANA
1/23/2025,WSH,SEA
1/23/2025,NSH,SJS
1/24/2025,PHI,NYI
1/24/2025,TBL,CHI
1/24/2025,VGK,DAL
1/24/2025,UTH,WPG
1/25/2025,COL,BOS
1/25/2025,BUF,EDM
1/25/2025,PIT,SEA
1/25/2025,NJD,MTL
1/25/2025,TOR,OTT
1/25/2025,TBL,DET
1/25/2025,LAK,CBJ
1/25/2025,DAL,STL
1/25/2025,CGY,MIN
1/25/2025,CAR,NYI
1/25/2025,WSH,VAN
1/25/2025,NSH,ANA
1/25/2025,FLA,SJS
1/26/2025,COL,NYR
1/26/2025,UTH,OTT
1/26/2025,CGY,WPG
1/26/2025,MIN,CHI
1/26/2025,FLA,VGK
1/27/2025,LAK,DET
1/27/2025,NJD,PHI
1/27/2025,VAN,STL
1/27/2025,SEA,EDM
1/27/2025,PIT,SJS
1/28/2025,BOS,BUF
1/28/2025,WPG,MTL
1/28/2025,CHI,TBL
1/28/2025,CAR,NYR
1/28/2025,COL,NYI
1/28/2025,WSH,CGY
1/28/2025,DAL,VGK
1/28/2025,ANA,SEA
1/29/2025,MIN,TOR
1/29/2025,LAK,FLA
1/29/2025,PHI,NJD
1/29/2025,VAN,NSH
1/29/2025,PIT,UTH
1/30/2025,WPG,BOS
1/30/2025,MIN,MTL
1/30/2025,WSH,OTT
1/30/2025,LAK,TBL
1/30/2025,NYI,PHI
1/30/2025,CHI,CAR
1/30/2025,ANA,CGY
1/30/2025,DET,EDM
1/30/2025,CBJ,VGK
1/30/2025,SJS,SEA
1/31/2025,NSH,BUF
1/31/2025,VAN,DAL
1/31/2025,STL,COL
1/31/2025,CBJ,UTH
2/1/2025,CHI,FLA
2/1/2025,NYR,BOS
2/1/2025,MIN,OTT
2/1/2025,NYI,TBL
2/1/2025,NSH,PIT
2/1/2025,WPG,WSH
2/1/2025,LAK,CAR
2/1/2025,TOR,EDM
2/1/2025,DET,CGY
2/2/2025,NJD,BUF
2/2/2025,PHI,COL
2/2/2025,MTL,ANA
2/2/2025,NYI,FLA
2/2/2025,VGK,NYR
2/2/2025,CBJ,DAL
2/2/2025,STL,UTH
2/2/2025,DET,VAN
2/2/2025,CGY,SEA
2/3/2025,OTT,NSH
2/4/2025,MIN,BOS
2/4/2025,CBJ,BUF
2/4/2025,OTT,TBL
2/4/2025,NJD,PIT
2/4/2025,FLA,WSH
2/4/2025,VGK,NYI
2/4/2025,EDM,STL
2/4/2025,CAR,WPG
2/4/2025,TOR,CGY
2/4/2025,PHI,UTH
2/4/2025,COL,VAN
2/4/2025,DAL,ANA
2/4/2025,DET,SEA
2/4/2025,MTL,SJS
2/5/2025,BOS,NYR
2/5/2025,EDM,CHI
2/5/2025,MTL,LAK
2/6/2025,OTT,TBL
2/6/2025,VGK,NJD
2/6/2025,WSH,PHI
2/6/2025,UTH,CBJ
2/6/2025,FLA,STL
2/6/2025,CAR,MIN
2/6/2025,COL,CGY
2/6/2025,TOR,SEA
2/6/2025,VAN,SJS
2/7/2025,PIT,NYR
2/7/2025,NYI,WPG
2/7/2025,NSH,CHI
2/7/2025,COL,EDM
2/7/2025,DAL,LAK
2/8/2025,NJD,MTL
2/8/2025,TBL,DET
2/8/2025,UTH,CAR
2/8/2025,VGK,BOS
2/8/2025,OTT,FLA
2/8/2025,PIT,PHI
2/8/2025,NYR,CBJ
2/8/2025,CHI,STL
2/8/2025,TOR,VAN
2/8/2025,BUF,NSH
2/8/2025,NYI,MIN
2/8/2025,SEA,CGY
2/8/2025,ANA,LAK
2/8/2025,DAL,SJS
2/9/2025,UTH,WSH
2/9/2025,TBL,MTL
2/22/2025,EDM,PHI
2/22/2025,WSH,PIT
2/22/2025,MIN,DET
2/22/2025,NYR,BUF
2/22/2025,SEA,FLA
2/22/2025,DAL,NJD
2/22/2025,COL,NSH
2/22/2025,ANA,BOS
2/22/2025,CAR,TOR
2/22/2025,MTL,OTT
2/22/2025,CHI,CBJ
2/22/2025,WPG,STL
2/22/2025,UTH,LAK
2/22/2025,VAN,VGK
2/23/2025,EDM,WSH
2/23/2025,NYR,PIT
2/23/2025,ANA,DET
2/23/2025,SEA,TBL
2/23/2025,COL,STL
2/23/2025,NJD,NSH
2/23/2025,TOR,CHI
2/23/2025,DAL,NYI
2/23/2025,SJS,CGY
2/23/2025,VAN,UTH
2/24/2025,SJS,WPG
2/24/2025,VGK,LAK
2/25/2025,TOR,BOS
2/25/2025,ANA,BUF
2/25/2025,CAR,MTL
2/25/2025,EDM,TBL
2/25/2025,PIT,PHI
2/25/2025,CGY,WSH
2/25/2025,DAL,CBJ
2/25/2025,NYR,NYI
2/25/2025,SEA,STL
2/25/2025,FLA,NSH
2/25/2025,DET,MIN
2/25/2025,CHI,UTH
2/26/2025,WPG,OTT
2/26/2025,NJD,COL
2/26/2025,VAN,LAK
2/27/2025,NYI,BOS
2/27/2025,SJS,MTL
2/27/2025,CBJ,DET
2/27/2025,CGY,TBL
